Chr	Start	End	Length	Strand	mESc.2i.RNA.DMSO.REP1	mESc.2i.RNA.DMSO.REP2	mESc.2i.RNA.DMSO.REP3	mESc.2i.RNA.RA.REP1	mESc.2i.RNA.RA.REP2	mESc.2i.RNA.RA.REP3
ENSMUSG00000070464	chr5	136036318	136039439	282	-	0	0	0	0	0	0
ENSMUSG00000070465	chr3	59756231	59777516	3050	+	1	1	0	1	0	1
ENSMUSG00000070469	chr7	89484204	89762960	15593	+	8	10	3	15	3	17
ENSMUSG00000070471	chr3	58420222	58441129	2195	-	1	0	1	1	0	0
ENSMUSG00000070473	chr5	135462084	135463342	1859	+	63	50	64	60	10	48
ENSMUSG00000070476	chr2	178149229	178159133	4904	+	13	9	8	8	8	10
ENSMUSG00000070489	chr1	180206224	180206770	543	-	1	0	0	0	0	0
ENSMUSG00000070490	chr3	52416707	52417938	1232	+	13	16	12	5	1	2
ENSMUSG00000070493	chr5	130357027	130363340	2984	-	3386	3121	3130	2778	785	1321
ENSMUSG00000070495	chr2	172919110	172945026	3217	-	102	83	70	101	39	107
ENSMUSG00000070498	chr5	126102858	126179143	1222	+	4	3	2	5	3	10
ENSMUSG00000070501	chr1	175449848	175466088	8119	-	0	0	0	0	0	0
ENSMUSG00000070504	chr1	174526771	174532682	1914	-	0	2	0	1	0	0
ENSMUSG00000070509	chr7	80520406	80564785	14391	+	100	90	80	66	35	90
ENSMUSG00000070511	chr7	78493847	78496371	2525	-	0	0	0	0	0	2
ENSMUSG00000070519	chr5	123705490	123705822	333	-	0	0	0	0	0	0
ENSMUSG00000070520	chr7	72011938	72017883	5946	-	487	477	438	384	92	220
ENSMUSG00000070522	chr3	28662453	28664314	1862	-	0	0	0	0	0	0
ENSMUSG00000070524	chr1	172837404	172843072	1284	-	1	0	1	1	0	0
ENSMUSG00000070526	chr7	69606757	69609396	2640	-	161	124	174	182	45	96
ENSMUSG00000070527	chr7	69562479	69565039	2561	-	118	71	100	102	23	55
ENSMUSG00000070528	chr7	67898246	67898461	216	-	0	0	0	0	0	0
ENSMUSG00000070529	chr2	164481440	164482868	1020	+	0	1	2	0	1	0
ENSMUSG00000070530	chr2	164460207	164464302	1823	-	0	0	0	0	0	0
ENSMUSG00000070531	chr2	164439022	164443712	1790	+	0	0	0	0	0	0
ENSMUSG00000070532	chr1	171858779	171864784	2824	+	13	16	18	3	0	0
ENSMUSG00000070533	chr2	164421958	164439126	6551	-	0	0	0	0	0	0
ENSMUSG00000070541	chr7	58198129	58198524	396	-	3	5	1	6	1	5
ENSMUSG00000070544	chr2	160471624	160548500	12545	+	2619	2284	2073	3027	1001	2243
ENSMUSG00000070546	chr7	55898233	55899171	939	-	0	0	0	0	0	0
ENSMUSG00000070547	chr7	55699483	55711712	4185	-	0	0	1	1	2	1
ENSMUSG00000070550	chr7	55453583	55454548	966	-	0	0	0	0	0	0
ENSMUSG00000070551	chr7	55423353	55424384	1032	-	0	0	0	0	0	0
ENSMUSG00000070552	chr7	55276341	55282971	1184	-	0	0	0	0	0	0
ENSMUSG00000070561	chr7	53352533	53355607	3075	-	1	2	0	1	0	1
ENSMUSG00000070563	chr7	52980477	52981186	710	-	1	0	0	0	0	0
ENSMUSG00000070564	chr7	52939784	52949924	3146	+	4	4	7	6	2	4
ENSMUSG00000070565	chr1	159065314	159342726	25308	-	950	1005	712	1037	281	870
ENSMUSG00000070568	chr7	52532883	52544368	8921	+	2	3	1	5	3	4
ENSMUSG00000070570	chr7	52419291	52431508	2939	+	20	11	20	90	20	59
ENSMUSG00000070572	chr4	148831438	148831815	378	+	0	0	0	0	0	0
ENSMUSG00000070574	chr7	51932335	51933605	881	+	0	0	0	0	0	0
ENSMUSG00000070576	chr5	111846382	111886053	7417	+	72	71	65	51	17	72
ENSMUSG00000070577	chr4	148017426	148045681	1385	+	6	5	3	12	3	8
ENSMUSG00000070583	chr4	147243088	147244467	1380	+	114	99	88	154	30	118
ENSMUSG00000070594	chr1	141594212	141677816	8552	-	1	1	1	1	0	0
ENSMUSG00000070601	chr10	129822372	129831297	3034	-	11	10	11	11	1	11
ENSMUSG00000070604	chr7	50718521	50727283	6203	+	37	35	24	23	6	28
ENSMUSG00000070605	chr4	145727747	145749016	4550	-	7148	7712	5995	7638	2350	5476
ENSMUSG00000070606	chr7	50643056	50643319	264	-	0	0	0	0	0	0
ENSMUSG00000070609	chr4	144203610	144213301	1224	+	0	0	0	0	0	0
ENSMUSG00000070610	chr4	144177147	144178535	1389	+	0	0	0	0	0	0
ENSMUSG00000070616	chr4	143101215	143132374	5795	+	0	0	0	0	0	0
ENSMUSG00000070617	chr4	143286403	143292614	1807	-	1	2	0	0	1	0
ENSMUSG00000070618	chr4	143157378	143163701	2095	+	20	16	22	45	6	28
ENSMUSG00000070619	chr4	143947845	143954322	2094	+	37	36	24	55	10	30
ENSMUSG00000070621	chr7	49685198	49686094	1158	-	0	0	0	0	0	0
ENSMUSG00000070632	chr5	107867016	107920647	1775	+	37	43	19	51	11	32
ENSMUSG00000070637	chr4	140988587	140992020	905	-	69	54	42	24	2	14
ENSMUSG00000070639	chr5	105844794	105915208	5331	+	46	42	37	45	16	22
ENSMUSG00000070641	chrX	131023909	131024682	774	+	0	2	1	1	0	0
ENSMUSG00000070643	chr1	135278880	135320954	10099	-	351	322	312	435	99	409
ENSMUSG00000070644	chr1	135260149	135276913	8068	+	164	157	175	348	62	251
ENSMUSG00000070645	chr1	135247087	135256902	3341	+	50	33	40	39	12	16
ENSMUSG00000070661	chr4	138523027	138524280	1254	+	1	1	0	0	0	0
ENSMUSG00000070666	chr4	137126791	137130558	1710	-	8	11	5	17	2	23
ENSMUSG00000070667	chr4	136951208	136951623	794	+	21	17	26	9	3	14
ENSMUSG00000070677	chr5	95885825	95914583	4333	+	0	1	1	0	1	2
ENSMUSG00000070683	chr4	136178507	136193795	3212	+	0	2	0	1	1	0
ENSMUSG00000070686	chr5	94064019	94100577	17054	-	0	0	0	0	0	0
ENSMUSG00000070687	chr4	135979439	136000313	7937	+	3	0	0	1	1	0
ENSMUSG00000070690	chr5	90990244	91007024	1083	+	0	0	0	0	0	0
ENSMUSG00000070691	chr4	134676567	134733905	7138	+	8	11	5	9	2	16
ENSMUSG00000070692	chr2	122045646	122046140	894	+	1	3	4	2	0	2
ENSMUSG00000070695	chr1	117581333	118478603	9566	+	0	0	0	0	0	0
ENSMUSG00000070697	chr5	88983508	88985108	1601	+	1849	1539	1458	1328	326	758
ENSMUSG00000070699	chr7	29527010	29538871	1860	+	857	769	724	764	148	516
ENSMUSG00000070702	chr5	88095249	88111598	2806	+	0	0	0	0	0	0
ENSMUSG00000070704	chr5	87494952	87521580	4269	-	0	0	0	0	0	0
ENSMUSG00000070705	chr7	29062725	29065148	2424	+	43	41	47	36	15	26
ENSMUSG00000070708	chr2	162912767	162913590	824	-	621	552	507	435	78	234
ENSMUSG00000070709	chr7	28692411	28714479	14652	-	228	200	171	209	58	191
ENSMUSG00000070713	chr8	74828009	74829159	1151	-	12	10	9	6	2	9
ENSMUSG00000070717	chr4	131630612	131632907	2296	+	1	1	3	1	0	0
ENSMUSG00000070719	chr2	120091331	120114933	3688	-	0	0	0	1	0	0
ENSMUSG00000070720	chr4	131477686	131478540	855	+	3	1	3	6	0	7
ENSMUSG00000070729	chr4	129576337	129577146	810	+	3	5	4	4	0	2
ENSMUSG00000070730	chr2	118962737	118982770	5373	-	882	836	810	906	239	578
ENSMUSG00000070732	chr1	93041680	93067372	3851	+	88	78	74	119	18	80
ENSMUSG00000070733	chr5	73411561	73647857	37723	-	2828	3113	2181	2015	566	2307
ENSMUSG00000070737	chr4	126800935	126806888	2882	+	77	44	49	28	9	18
ENSMUSG00000070738	chr1	89749862	89841064	5694	+	1741	1583	1495	1757	322	1257
ENSMUSG00000070777	chr7	20550761	20576462	2897	+	68	82	63	108	26	120
ENSMUSG00000070778	chr7	20539120	20539932	813	+	5	2	3	1	1	2
ENSMUSG00000070780	chr5	66407788	66564356	25880	-	192	199	140	293	91	351
ENSMUSG00000070794	chr2	103217800	103229201	1445	-	1	1	1	4	2	6
ENSMUSG00000070796	chr7	19232003	19242074	2159	-	0	0	0	0	0	0
ENSMUSG00000070797	chr7	19141864	19152654	1941	-	0	0	0	0	0	0
ENSMUSG00000070798	chr7	19105053	19117576	3065	-	0	0	0	0	0	0
ENSMUSG00000070799	chr7	19059932	19069498	2057	-	0	0	0	0	0	0
ENSMUSG00000070802	chr7	17530031	17532427	2397	+	27	19	16	29	7	15
ENSMUSG00000070803	chr4	120339168	120340425	1495	+	28	25	20	35	14	27
ENSMUSG00000070806	chr4	119095419	119140049	2734	+	3	3	3	2	0	3
ENSMUSG00000070808	chr7	16556611	16584844	5360	-	124	127	98	140	46	243
ENSMUSG00000070810	chr7	14807730	14840216	988	-	0	0	0	0	0	0
ENSMUSG00000070811	chr7	14318855	14364985	740	+	0	0	0	0	0	0
ENSMUSG00000070814	chr7	13844316	13864070	23265	-	313	309	209	315	86	237
ENSMUSG00000070815	chr7	13716820	13717707	888	-	0	0	0	0	0	0
ENSMUSG00000070816	chr7	13687346	13688296	951	-	0	0	0	0	0	0
ENSMUSG00000070817	chr7	13669638	13670564	927	-	0	0	0	0	0	0
ENSMUSG00000070820	chr4	118407136	118408083	948	+	0	0	0	0	0	0
ENSMUSG00000070821	chr4	118398854	118399804	951	+	0	0	0	0	0	0
ENSMUSG00000070822	chr7	13353441	13361007	3626	-	356	332	278	459	64	278
ENSMUSG00000070823	chr5	37577136	37584262	1578	+	1	0	0	1	0	1
ENSMUSG00000070824	chr7	12254948	12255868	921	-	0	0	0	0	0	0
ENSMUSG00000070826	chr7	12099659	12104460	2277	+	30	16	27	40	9	13
ENSMUSG00000070828	chr7	11983264	11988090	4627	+	20	21	30	45	16	34
ENSMUSG00000070834	chr4	116821528	116821731	204	+	2	2	0	0	0	2
ENSMUSG00000070837	chr7	6948154	6955656	948	+	208	178	207	370	90	188
ENSMUSG00000070841	chr7	7623598	7642224	6692	-	0	0	0	0	0	0
ENSMUSG00000070844	chr7	9927007	9944065	11748	+	0	0	0	1	0	0
ENSMUSG00000070845	chr7	9352156	9376705	4971	+	0	0	0	0	0	0
ENSMUSG00000070847	chr7	7264434	7290242	6247	-	1	0	0	1	0	1
ENSMUSG00000070848	chr7	8246140	8271740	6611	+	0	0	0	0	0	0
ENSMUSG00000070849	chr7	7416680	7432684	2559	-	0	0	0	0	0	0
ENSMUSG00000070850	chr7	10092187	10116991	4217	+	0	0	0	0	0	0
ENSMUSG00000070852	chr2	87211691	87212635	945	+	0	0	0	0	0	0
ENSMUSG00000070853	chr2	87197583	87198593	1011	+	0	0	0	0	0	0
ENSMUSG00000070855	chr2	87108976	87109971	1920	+	0	0	0	0	0	0
ENSMUSG00000070856	chr2	87091997	87093098	1102	+	0	0	0	0	0	0
ENSMUSG00000070857	chr2	87052951	87054053	1103	+	0	0	0	0	0	0
ENSMUSG00000070858	chr5	34326086	34327662	2501	+	7	0	2	7	0	0
ENSMUSG00000070866	chr2	81893379	82100036	6186	+	0	0	0	0	0	0
ENSMUSG00000070867	chr4	114079329	114287703	6617	+	3	3	6	5	4	2
ENSMUSG00000070868	chr4	111904850	111973073	10965	+	0	0	0	0	0	0
ENSMUSG00000070870	chr1	65095128	65097723	1321	-	58	36	35	63	13	24
ENSMUSG00000070871	chr1	64737029	64772218	6204	+	520	501	448	466	134	284
ENSMUSG00000070873	chr7	4189356	4195065	2109	+	5	4	2	1	0	1
ENSMUSG00000070875	chr2	86817986	86818954	969	-	0	0	0	0	0	0
ENSMUSG00000070877	chr4	106881785	106890665	1093	+	5	9	4	7	2	7
ENSMUSG00000070880	chr2	70391129	70440071	15411	+	40	33	30	19	2	15
ENSMUSG00000070883	chr2	69596090	69627632	2796	-	56	45	44	56	14	48
ENSMUSG00000070886	chr4	104000857	104003162	2306	+	0	0	0	0	0	0
ENSMUSG00000070889	chr1	54537550	54614526	2871	-	1037	1018	934	1282	259	857
ENSMUSG00000070890	chr4	101613012	101615788	1452	+	20	31	10	34	4	31
ENSMUSG00000070891	chr4	98962591	98963382	792	+	3	1	0	0	0	0
ENSMUSG00000070892	chr4	98939362	98941836	2475	+	15	23	11	11	8	25
ENSMUSG00000070896	chr1	46038393	46038860	468	+	8	2	8	3	0	2
ENSMUSG00000070900	chr4	94223237	94223769	533	+	0	0	0	0	0	0
ENSMUSG00000070902	chr4	89885511	89892393	6082	+	49	30	27	70	15	38
ENSMUSG00000070903	chr4	88495991	88496560	570	+	0	0	0	0	0	0
ENSMUSG00000070904	chr4	88487720	88488363	644	+	0	0	0	0	0	0
ENSMUSG00000070906	chr4	88465823	88466469	647	+	0	0	0	0	0	0
ENSMUSG00000070907	chr4	88462129	88462704	576	+	0	0	0	0	0	0
ENSMUSG00000070908	chr4	88451435	88454284	2850	+	0	0	0	0	0	0
ENSMUSG00000070923	chr4	88364196	88368369	7052	-	1691	1465	1403	1330	385	746
ENSMUSG00000070933	chr5	15124882	15129682	2051	+	1	0	0	0	0	0
ENSMUSG00000070934	chr4	86221577	86223185	1609	+	638	553	484	495	166	355
ENSMUSG00000070939	chr1	43104114	43155467	7335	-	243	280	203	194	45	179
ENSMUSG00000070940	chr5	10866072	10870816	1127	+	0	0	0	0	0	0
ENSMUSG00000070942	chr1	40381472	40422316	1950	+	15	13	10	7	1	3
ENSMUSG00000070943	chr2	36792641	36793588	948	+	0	0	0	0	0	0
ENSMUSG00000070946	chr4	73329420	73333462	1322	+	3	1	2	4	0	0
ENSMUSG00000070953	chr2	34633076	34655432	8633	-	423	345	336	427	76	266
ENSMUSG00000070960	chr1	31672836	31673507	672	+	0	0	0	0	0	0
ENSMUSG00000070972	chr4	59007934	59038445	12254	+	192	185	180	210	68	164
ENSMUSG00000070977	chr1	18200134	18213645	219	-	0	0	0	0	0	0
ENSMUSG00000070979	chr4	56756294	56757797	1504	+	0	0	0	0	0	0
ENSMUSG00000070980	chr4	56752879	56754297	1419	-	11	14	9	8	4	15
ENSMUSG00000070983	chr4	52983495	52984439	1884	+	0	0	0	0	0	0
ENSMUSG00000070984	chr4	52827476	52841141	1188	+	0	0	0	0	0	0
ENSMUSG00000070985	chr4	49459977	49486784	3981	-	0	1	1	0	1	2
ENSMUSG00000070990	chr4	46356481	46359284	2804	+	4	3	3	2	1	2
ENSMUSG00000070995	chr6	148555308	148562831	5056	-	74	62	57	86	26	125
ENSMUSG00000070997	chr4	45025702	45027271	1570	+	7	5	3	5	4	6
ENSMUSG00000070999	chr4	43996376	43998405	2030	+	7	2	8	8	5	3
ENSMUSG00000071000	chr4	43864437	43868335	2327	+	0	0	0	0	0	0
ENSMUSG00000071001	chr4	43740070	43741511	1442	+	6	6	6	1	0	2
ENSMUSG00000071003	chr4	42786392	42787525	870	-	0	0	0	0	0	0
ENSMUSG00000071005	chr4	42768057	42770109	2164	-	0	0	0	0	0	0
ENSMUSG00000071014	chr4	40217624	40226454	1139	-	1124	1027	1078	1014	226	487
ENSMUSG00000071015	chr4	34691033	34703512	1311	-	0	0	0	1	0	0
ENSMUSG00000071019	chr4	3983078	4004669	3030	-	0	0	0	0	0	0
ENSMUSG00000071033	chr17	91487833	91488731	742	+	0	0	0	0	0	0
ENSMUSG00000071035	chr17	87477611	87478498	888	+	0	0	2	2	0	0
ENSMUSG00000071036	chr17	86897072	86904572	2005	-	0	0	0	0	0	0
ENSMUSG00000071037	chr17	85489946	85857479	3633	+	238	232	183	218	62	296
ENSMUSG00000071040	chr17	81337674	81338054	381	-	1	2	0	0	0	0
ENSMUSG00000071041	chr8	102554393	102556047	3200	+	0	0	1	2	0	1
ENSMUSG00000071042	chr17	75835245	75928383	13982	+	10	13	19	29	4	38
ENSMUSG00000071047	chr8	95544113	95572091	1980	-	3	3	3	2	1	3
ENSMUSG00000071052	chr17	57977850	57978656	807	-	1	1	0	2	0	0
ENSMUSG00000071054	chr17	56724405	56745717	6318	+	1870	1655	1309	1426	342	1197
ENSMUSG00000071064	chr8	81552336	81717665	29240	+	729	775	565	975	265	1240
ENSMUSG00000071065	chr10	129174817	129175971	1899	-	0	0	0	0	0	0
ENSMUSG00000071068	chr17	48438864	48451859	8962	+	51	36	26	36	8	35
ENSMUSG00000071072	chr10	127496010	127514328	5682	+	10684	10031	9467	7565	2381	4050
ENSMUSG00000071073	chr17	46391114	46394265	1384	+	7	6	9	10	2	8
ENSMUSG00000071074	chr17	46385029	46389486	6571	+	549	416	428	495	136	351
ENSMUSG00000071076	chr8	73221638	73224515	4437	+	1326	994	1226	956	250	794
ENSMUSG00000071077	chr17	45602737	45603252	516	+	2	8	5	6	2	5
ENSMUSG00000071078	chr8	72655232	72657638	1175	+	450	323	337	297	65	192
ENSMUSG00000071083	chr8	71897427	71897813	387	-	127	133	116	156	48	107
ENSMUSG00000071084	chr17	38088996	38089967	972	-	0	0	0	0	0	0
ENSMUSG00000071089	chr8	67505550	67511545	2506	-	0	0	0	1	1	1
ENSMUSG00000071102	chr8	47340031	47341032	1002	-	1	0	1	0	0	0
ENSMUSG00000071103	chr8	47038960	47060606	4080	-	4	3	2	6	2	5
ENSMUSG00000071104	chr8	47019973	47029499	3027	+	0	0	0	0	0	0
ENSMUSG00000071107	chr10	95255205	95257614	1631	+	54	72	44	68	26	72
ENSMUSG00000071112	chr6	142361961	142368250	4900	+	19	15	9	22	4	11
ENSMUSG00000071113	chr8	35178084	35188239	1839	+	3	0	0	3	0	2
ENSMUSG00000071138	chr8	28454866	28459660	1767	+	1	0	0	0	0	0
ENSMUSG00000071141	chr6	136437328	136437648	321	+	1	1	0	1	0	0
ENSMUSG00000071147	chr6	133004835	133005834	1000	-	0	0	0	0	0	0
ENSMUSG00000071149	chr6	132687028	132688053	1026	-	0	0	0	0	0	0
ENSMUSG00000071150	chr6	132650108	132651025	918	-	0	0	0	0	0	0
ENSMUSG00000071151	chr10	82417089	82417745	657	+	0	0	0	0	0	0
ENSMUSG00000071158	chr6	129716586	129734288	2682	-	0	0	0	0	0	0
ENSMUSG00000071164	chr8	22224121	22224964	836	+	0	0	0	0	0	0
ENSMUSG00000071165	chr8	22056169	22061750	857	-	0	0	0	0	0	0
ENSMUSG00000071166	chr8_random	264607	265661	486	+	0	0	0	0	0	0
ENSMUSG00000071169	chr8	19239916	19242143	174	+	0	0	0	0	0	0
ENSMUSG00000071172	chr17	29169618	29180311	10274	+	9041	8570	7432	8566	2190	5203
ENSMUSG00000071176	chr8	14911663	15001085	22839	+	119	104	90	516	133	440
ENSMUSG00000071177	chr12	105001804	105011802	1394	-	0	0	0	0	0	0
ENSMUSG00000071178	chr12	104966366	104976368	1394	-	4	2	2	0	0	0
ENSMUSG00000071179	chr12	104907018	104914349	2839	-	0	0	0	0	0	0
ENSMUSG00000071180	chr13	108836618	108839340	1852	+	820	704	626	653	160	330
ENSMUSG00000071181	chr13	107822043	107823753	1711	+	5	4	4	6	3	13
ENSMUSG00000071185	chr10	78074414	78080819	1160	-	0	0	0	0	0	0
ENSMUSG00000071186	chr10	77982352	77983293	942	+	0	0	0	0	0	0
ENSMUSG00000071192	chr17	26014575	26017250	2602	-	21	29	14	29	10	42
ENSMUSG00000071193	chr13	105708859	105709266	408	+	6	9	6	6	0	8
ENSMUSG00000071195	chr10	77315607	77316284	639	+	0	0	0	0	0	0
ENSMUSG00000071202	chr17	25923525	25927458	1651	+	13	5	12	8	3	10
ENSMUSG00000071203	chr13	100981694	101016278	7930	-	16	31	22	21	8	20
ENSMUSG00000071204	chr6	122086646	122102034	2201	+	0	0	0	0	0	0
ENSMUSG00000071207	chr12	89327560	89328420	861	+	0	2	0	0	0	0
ENSMUSG00000071216	chr12	88943638	88949795	3282	+	0	0	0	0	0	0
ENSMUSG00000071217	chr12	88833274	89135166	1721	+	61	57	47	114	17	34
ENSMUSG00000071222	chr13	99259488	99259778	291	-	0	0	0	0	0	0
ENSMUSG00000071226	chr6	120616387	120721208	21815	+	2096	2108	1666	2191	674	2227
ENSMUSG00000071229	chr14	122433896	122437642	913	+	30	28	27	24	8	22
ENSMUSG00000071230	chr17	24794275	24795370	606	-	7	8	11	20	0	14
ENSMUSG00000071234	chr12	86018228	86039757	2499	-	1	0	1	0	0	1
ENSMUSG00000071235	chr12	85981969	85992405	9562	+	1	3	2	3	1	1
ENSMUSG00000071237	chr6	117758346	117759596	1548	+	0	1	1	0	0	0
ENSMUSG00000071243	chr14	106877503	106878186	684	+	3	2	4	5	3	2
ENSMUSG00000071244	chr14	106492367	106493050	684	-	0	1	0	1	1	0
ENSMUSG00000071252	chr13	77274797	77752940	13327	+	112	114	104	118	43	131
ENSMUSG00000071253	chr10	62383381	62409246	6325	+	367	342	343	371	93	214
ENSMUSG00000071256	chr17	23693736	23701193	2672	-	325	277	329	305	41	167
ENSMUSG00000071262	chr14	79612160	79647176	6396	-	0	0	0	1	0	0
ENSMUSG00000071265	chr12	75389722	75396932	709	+	1	0	0	0	0	0
ENSMUSG00000071266	chr17	22561189	22593656	8346	+	426	414	285	369	120	340
ENSMUSG00000071267	chr17	22063927	22099431	5746	-	1162	1219	957	1192	337	846
ENSMUSG00000071269	chr13	72592122	72592794	673	-	0	0	0	1	0	0
ENSMUSG00000071273	chr17	20707326	20708162	837	+	0	0	0	0	0	0
ENSMUSG00000071275	chr17	20319042	20320061	1020	-	0	0	0	0	0	0
ENSMUSG00000071276	chr17	20250174	20251190	1017	-	0	0	0	0	0	0
ENSMUSG00000071280	chr10	59078811	59079146	336	+	0	0	0	0	0	1
ENSMUSG00000071281	chr13	67806243	67830056	8882	-	926	902	834	979	201	697
ENSMUSG00000071284	chr13	67770025	67770279	255	-	0	0	0	0	0	0
ENSMUSG00000071285	chr13	67616722	67622261	2556	-	267	263	225	235	79	149
ENSMUSG00000071286	chr10	58684701	58689179	4477	+	195	166	160	177	39	116
ENSMUSG00000071291	chr13	67591103	67627087	7644	-	240	218	217	229	58	127
ENSMUSG00000071292	chr13	66974990	66975683	694	+	10	0	3	4	2	0
ENSMUSG00000071294	chr13	66965460	66966011	552	+	0	0	1	0	0	0
ENSMUSG00000071295	chr13	66953110	66955898	813	-	595	660	622	823	262	582
ENSMUSG00000071302	chr13	66139239	66141604	468	+	443	430	399	486	106	419
ENSMUSG00000071303	chr10	56074218	56074904	687	-	0	1	2	1	0	1
ENSMUSG00000071311	chr17	13244187	13245146	960	-	0	0	0	0	0	0
ENSMUSG00000071317	chr10	45055568	45089514	1607	+	16	9	7	20	1	17
ENSMUSG00000071318	chr10	44725916	44726923	1008	+	1	1	4	4	0	3
ENSMUSG00000071320	chr10	43541037	43542044	1008	+	2	4	3	3	0	0
ENSMUSG00000071322	chr17	7528995	7550323	13421	+	0	0	1	0	0	0
ENSMUSG00000071324	chr10	41634796	41738248	23685	-	20	20	14	35	11	32
ENSMUSG00000071329	chr12	55529160	55529546	387	+	0	0	0	0	0	0
ENSMUSG00000071332	chr6	87622376	87631018	6355	+	5	2	0	7	1	1
ENSMUSG00000071335	chr10	39666713	39679959	1787	-	4	0	8	3	1	2
ENSMUSG00000071337	chr6	86354213	86383397	39669	+	1343	1198	996	1440	360	938
ENSMUSG00000071340	chr10	33757403	33829619	1183	+	0	0	0	0	0	0
ENSMUSG00000071341	chr6	85461125	85463583	2138	-	0	0	2	1	1	2
ENSMUSG00000071342	chr12	40902973	40925902	2297	-	4	5	1	4	1	6
ENSMUSG00000071343	chr10	33528303	33529304	1002	-	31	25	21	15	3	2
ENSMUSG00000071347	chr14	61386971	61399706	1903	+	19	17	16	38	11	21
ENSMUSG00000071350	chr14	60020846	60059721	11713	-	527	544	434	604	161	422
ENSMUSG00000071356	chr6	78320879	78323460	1380	+	0	0	0	0	0	0
ENSMUSG00000071359	chr10	22423685	22451744	6422	-	442	439	409	429	115	232
ENSMUSG00000071361	chr14	56645701	56649332	2000	-	0	0	0	0	0	0
ENSMUSG00000071362	chr12	24463777	24465130	1354	-	256	249	239	204	99	184
ENSMUSG00000071369	chr10	19654278	19862559	12509	+	658	706	520	777	144	661
ENSMUSG00000071379	chr12	17697620	17798732	1561	+	154	122	129	154	24	131
ENSMUSG00000071392	chr10	17848828	17895141	2262	-	0	0	1	1	0	1
ENSMUSG00000071398	chr12	17011764	17018360	1625	-	13	12	11	7	2	12
ENSMUSG00000071414	chr12	13461465	13462815	1351	-	0	0	0	0	0	0
ENSMUSG00000071415	chr11	97638841	97643751	3259	-	20639	17905	17273	15110	3686	7366
ENSMUSG00000071419	chr6	57967484	57967969	861	+	3	7	5	3	0	2
ENSMUSG00000071424	chr6	63205870	64618276	20827	+	34	21	36	5	4	6
ENSMUSG00000071425	chr14	55435324	55472771	1743	+	24	27	21	58	21	63
ENSMUSG00000071428	chr6	58165100	58166011	912	-	0	0	0	0	0	0
ENSMUSG00000071434	chr10	7216995	7226702	2801	-	0	0	1	7	0	2
ENSMUSG00000071451	chr13	34254833	34270041	1028	+	400	358	366	369	95	215
ENSMUSG00000071452	chr13	33487630	33497154	1862	+	0	1	0	0	0	0
ENSMUSG00000071454	chr12	3572381	3781796	49874	+	1158	1114	907	1052	254	1198
ENSMUSG00000071456	chr12	3405308	3426644	1829	-	338	306	318	395	65	273
ENSMUSG00000071459	chr7	7336696	7352338	2586	-	0	0	0	0	0	0
ENSMUSG00000071460	chr19	61251445	61251898	453	-	5	4	5	10	4	7
ENSMUSG00000071466	chr13	28048024	28048284	261	+	0	0	0	0	0	0
ENSMUSG00000071470	chr14	51408924	51415403	1508	-	348	279	269	324	89	211
ENSMUSG00000071471	chr16	88647069	88648041	973	-	0	0	0	0	0	0
ENSMUSG00000071475	chr16	83371496	83371978	483	-	4	6	3	3	2	7
ENSMUSG00000071476	chr14	53833387	53833842	456	+	0	0	0	0	0	0
ENSMUSG00000071477	chr6	47974187	47998910	8119	-	570	503	455	652	152	470
ENSMUSG00000071478	chr13	23666250	23666821	572	+	834	734	894	619	66	323
ENSMUSG00000071481	chr6	43117009	43118026	1018	+	0	0	0	0	0	0
ENSMUSG00000071489	chr14	45470910	45479050	3187	-	0	1	0	0	0	0
ENSMUSG00000071490	chr13	22974911	22976074	1164	-	0	0	0	0	0	0
ENSMUSG00000071491	chr13	22897449	22898387	939	-	0	0	0	0	0	0
ENSMUSG00000071493	chr13	22864196	22865194	999	-	0	0	0	0	0	0
ENSMUSG00000071494	chr6	42488066	42489443	1905	-	0	0	0	0	0	0
ENSMUSG00000071495	chr13	22711870	22713004	1135	-	0	0	0	0	0	0
ENSMUSG00000071497	chr19	53662694	53663558	865	-	0	0	0	0	0	0
ENSMUSG00000071506	chr6	42211969	42214554	1147	+	9	11	10	9	2	11
ENSMUSG00000071510	chr16	58760265	58761353	1089	-	0	0	0	0	0	0
ENSMUSG00000071516	chr13	21808281	21809321	1041	+	1203	1093	1170	1066	327	626
ENSMUSG00000071517	chr6	41392213	41396096	830	-	0	0	0	0	0	0
ENSMUSG00000071519	chr6	41323794	41327677	841	-	0	0	0	1	0	0
ENSMUSG00000071521	chr6	41304104	41307943	890	+	0	0	0	0	0	0
ENSMUSG00000071522	chr13	21224567	21225653	1087	+	0	0	0	0	0	0
ENSMUSG00000071528	chr19	47157961	47165115	341	-	919	744	870	746	183	381
ENSMUSG00000071531	chr14	35007627	35014819	1601	-	1	8	1	3	1	9
ENSMUSG00000071532	chr10	14242884	14243354	471	+	1	0	0	0	0	0
ENSMUSG00000071533	chr16	56007358	56029852	8913	-	2431	2173	2016	1947	549	1161
ENSMUSG00000071537	chr6	38576660	38587239	2282	-	21	12	13	33	5	24
ENSMUSG00000071540	chr14	33472954	33477192	4239	-	0	2	1	3	0	1
ENSMUSG00000071547	chr14	31948039	31952307	1407	+	896	775	772	942	199	524
ENSMUSG00000071550	chr16	44394909	44482541	21301	+	6	6	3	10	1	7
